id,employee_id,First_name,Last_name,Seniority_level,Position,Years_worked_continuously,Special_bonus_level
1,51ef10eb-8c3b-4129-b844-542afaba7eeb,Carmine,De Vuyst,Junior,Manager,4,3
2,171338c8-2377-4c70-bb66-9ad669319831,Gasper,Feast,Entry,Team Leader,10,5
3,807e1bc7-00db-494b-8f92-44acf141908b,Lin,Sunley,Medium,Manager,23,3
4,c9f18741-cd6c-4dee-a243-00c1f55fde3e,Leeland,Geraghty,Medium,Team Leader,7,4
5,5722a380-f869-400d-9a6a-918beb4acbe0,Wash,Van der Kruys,Junior,Developer,7,1
6,f26e94c5-1ced-467b-ac83-a94544735e27,Marjie,True,Senior,Tester,28,1
7,f4934e00-9c01-45f9-bddc-2366e6ea070e,Muriel,Dorken,Entry,Analyst,10,8
8,66da352a-100c-4209-a13e-00ec12aa167e,Harrison,Mawditt,Senior,Tester,17,10
9,ae5d435a-f447-44f3-a009-07e60d4efb48,Tanhya,Arrandale,Junior,Developer,12,2
10,a5e85782-12e0-4bd0-8a97-ba927f1eda6d,Stearn,Dachs,Senior,Team Leader,8,8
11,3272f7a3-0dc1-4961-b493-c1c348aad5a5,Alysa,Carruth,Senior,Tester,20,10
12,1f02d156-91ae-4e80-9b8f-ced831f58ba2,Vinny,Bradbrook,Medium,Team Leader,1,1
13,7c56ce8f-3f60-4978-981d-850676f7e576,Cherida,Dayes,Entry,Tester,18,1
14,7fda63ef-9b3e-4c85-88b4-bc4e43bc85ac,Natale,Statter,Junior,Team Leader,25,10
15,cb47f2e2-1bce-4a18-b442-490275ce009c,Caresse,Barhams,Entry,Team Leader,12,5
16,53edd120-8fd9-45a8-912e-e6cdb992ba4c,Valina,Celler,Junior,Team Leader,2,6
17,3cdb9135-5f25-4106-bb1b-da414f065b44,Nevins,Kix,Junior,Analyst,14,1
18,fbdb1cb5-8064-4cd8-aae7-82bf501f8f34,Danny,Hainge,Medium,Team Leader,2,4
19,f6217faf-53c6-48af-8df1-dc04b5fbe161,Stillman,Dearnaley,Entry,Manager,12,7
